	gene_id_NPS-447_
ARMC1	1
ARMC10	1
ARMC12	0
ARMC2	2
ARMC2_AS1	0
ARMC3	20
ARMC4	5
ARMC5	0
ARMC6	1
ARMC7	1
ARMC8	1
ARMC9	3
ARMCX1	1
ARMCX2	0
ARMCX3	3
ARMCX4	2
ARMCX5	0
ARMCX5_GPRASP2	0
ARMCX6	2
ARMS2	0
ARMT1	4
ARNT	9
ARNT2	1
ARNTL	0
ARNTL2	2
ARNTL2_AS1	0
ARPC1A	3
ARPC1B	6
ARPC2	7
ARPC3	8
ARPC4	2
ARPC4_TTLL3	0
ARPC5	23
ARPC5L	4
ARPIN	3
ARPP19	4
ARPP21	0
ARR3	0
ARRB1	4
ARRB2	17
ARRDC1	7
ARRDC1_AS1	0
ARRDC2	4
ARRDC3	5
ARRDC3_AS1	2
ARRDC4	3
ARRDC5	0
ARSA	10
ARSB	1
ARSD	5
ARSE	0
ARSF	0
ARSG	3
ARSH	2
ARSI	13
ARSJ	5
ARSK	1
ART1	0
ART3	0
ART4	0
ART5	0
ARTN	0
ARV1	2
ARVCF	0
ARX	2
AS3MT	0
ASAH1	8
ASAH2	0
ASAH2B	0
ASAP1	42
ASAP1_IT1	0
ASAP1_IT2	0
ASAP2	11
ASAP3	6
ASB1	4
ASB10	0
ASB11	0
ASB12	0
ASB13	0
ASB14	0
ASB15	0
ASB16	3
ASB16_AS1	2
ASB17	0
ASB18	1
ASB2	3
ASB3	0
ASB4	0
ASB5	0
ASB6	7
ASB7	4
ASB8	3
ASB9	0
ASB9P1	2
ASCC1	4
ASCC2	30
ASCC3	6
ASCL1	0
ASCL2	39
ASCL3	0
ASCL4	0
ASCL5	3
ASF1A	1
ASF1B	0
ASGR1	5
ASGR2	1
ASH1L	20
ASH1L_AS1	2
ASH2L	12
ASIC1	9
ASIC2	2
ASIC3	0
ASIC4	0
ASIC5	0
ASIP	0
ASL	3
ASMT	0
ASMTL	2
ASMTL_AS1	14
ASNA1	7
ASNS	0
ASNSD1	0
ASPA	2
ASPDH	0
ASPG	2
ASPH	14
ASPHD1	2
ASPHD2	2
ASPM	0
ASPN	0
ASPRV1	0
ASPSCR1	10
ASRGL1	4
ASS1	22
ASTE1	0
ASTL	0
ASTN1	0
ASTN2	4
ASTN2_AS1	0
ASUN	12
ASXL1	24
ASXL2	10
ASXL3	1
ASZ1	0
ATAD1	0
ATAD2	1
ATAD2B	16
ATAD3A	11
ATAD3B	0
ATAD3C	3
ATAD5	0
ATAT1	3
ATCAY	1
ATE1	0
ATE1_AS1	0
ATF1	2
ATF2	1
ATF3	10
ATF4	11
ATF5	7
ATF6	6
ATF6B	11
ATF7	7
ATF7IP	22
ATF7IP2	0
ATG10	8
ATG101	6
ATG12	3
ATG13	4
ATG14	4
ATG16L1	1
ATG16L2	9
ATG2A	8
ATG2B	5
ATG3	14
ATG4A	0
ATG4B	1
ATG4C	0
ATG4D	0
ATG5	0
ATG7	1
ATG9A	1
ATG9B	2
ATHL1	12
ATIC	3
ATL1	0
ATL2	0
ATL3	9
ATM	5
ATMIN	2
ATN1	22
ATOH1	0
ATOH7	5
ATOH8	0
ATOX1	0
ATP10A	1
ATP10B	5
ATP10D	0
ATP11A	7
ATP11A_AS1	0
ATP11AUN	0
ATP11B	4
ATP11C	2
ATP12A	33
ATP13A1	26
ATP13A2	2
ATP13A3	2
ATP13A4	2
ATP13A4_AS1	0
ATP13A5	2
ATP13A5_AS1	0
ATP1A1	33
ATP1A1_AS1	3
ATP1A2	0
ATP1A3	3
ATP1A4	59
ATP1B1	30
ATP1B2	0
ATP1B3	1
ATP1B4	0
ATP2A1	7
ATP2A1_AS1	0
ATP2A2	188
ATP2A3	21
ATP2B1	28
ATP2B2	0
ATP2B2_IT2	0
ATP2B3	2
ATP2B4	16
ATP2C1	6
ATP2C2	37
ATP4A	2
ATP4B	0
ATP5A1	11
ATP5B	6
ATP5C1	8
ATP5D	10
ATP5E	0
ATP5EP2	0
ATP5F1	0
ATP5G1	1
ATP5G2	11
ATP5G3	2
ATP5H	4
ATP5I	19
ATP5J	3
ATP5J2	1
ATP5J2_PTCD1	0
ATP5L	15
ATP5L2	1
ATP5O	1
ATP5S	6
ATP5SL	0
ATP6AP1	6
ATP6AP1L	0
ATP6AP2	5
ATP6V0A1	16
ATP6V0A2	5
ATP6V0A4	13
ATP6V0B	2
ATP6V0C	9
ATP6V0CP3	0
ATP6V0D1	9
ATP6V0D2	2
ATP6V0E1	5
ATP6V0E2	0
ATP6V0E2_AS1	0
ATP6V1A	6
ATP6V1B1	0
ATP6V1B1_AS1	2
ATP6V1B2	7
ATP6V1C1	0
ATP6V1C2	0
ATP6V1D	0
ATP6V1E1	3
ATP6V1E2	0
ATP6V1F	2
ATP6V1G1	14
ATP6V1G2	0
ATP6V1G2_DDX39B	0
ATP6V1G3	0
ATP6V1H	7
ATP7A	3
