	gene_id_WB25_
ATP2B2	9
ATP2B2_IT2	0
ATP2B3	0
ATP2B4	169
ATP2C1	196
ATP2C2	9
ATP4A	2
ATP4B	2
ATP5A1	272
ATP5B	269
ATP5C1	68
ATP5D	59
ATP5E	5
ATP5EP2	0
ATP5F1	63
ATP5G1	23
ATP5G2	130
ATP5G3	49
ATP5H	44
ATP5I	43
ATP5J	12
ATP5J2	14
ATP5J2_PTCD1	0
ATP5L	145
ATP5L2	5
ATP5O	54
ATP5S	11
ATP5SL	16
ATP6AP1	109
ATP6AP1L	4
ATP6AP2	119
ATP6V0A1	185
ATP6V0A2	53
ATP6V0A4	1
ATP6V0B	218
ATP6V0C	286
ATP6V0CP3	0
ATP6V0D1	156
ATP6V0D2	0
ATP6V0E1	199
ATP6V0E2	42
ATP6V0E2_AS1	1
ATP6V1A	103
ATP6V1B1	4
ATP6V1B1_AS1	1
ATP6V1B2	273
ATP6V1C1	29
ATP6V1C2	5
ATP6V1D	43
ATP6V1E1	99
ATP6V1E2	2
ATP6V1F	37
ATP6V1G1	146
ATP6V1G2	0
ATP6V1G2_DDX39B	0
ATP6V1G3	0
ATP6V1H	68
ATP7A	60
ATP7B	13
ATP8A1	392
ATP8A2	3
ATP8B1	21
ATP8B2	249
ATP8B3	10
ATP8B4	38
ATP8B5P	1
ATP9A	59
ATP9B	160
ATPAF1	19
ATPAF2	30
ATPIF1	63
ATR	166
ATRAID	54
ATRIP	12
ATRN	46
ATRNL1	3
ATRX	237
ATXN1	109
ATXN10	76
ATXN1L	322
ATXN2	93
ATXN2L	435
ATXN3	72
ATXN3L	0
ATXN7	287
ATXN7L1	44
ATXN7L2	17
ATXN7L3	163
ATXN7L3B	115
ATXN8OS	4
AUH	44
AUNIP	6
AUP1	169
AURKA	38
AURKAIP1	79
AURKAPS1	19
AURKB	5
AURKC	0
AUTS2	38
AVEN	5
AVIL	11
AVL9	76
AVP	0
AVPI1	17
AVPR1A	9
AVPR1B	0
AVPR2	11
AWAT1	2
AWAT2	2
AXDND1	4
AXIN1	125
AXIN2	27
AXL	9
AZGP1	1
AZGP1P1	0
AZI2	46
AZIN1	307
AZIN1_AS1	1
AZIN2	9
AZU1	13
B2M	10738
B3GALNT1	4
B3GALNT2	19
B3GALT1	0
B3GALT2	31
B3GALT4	21
B3GALT5	3
B3GALT5_AS1	0
B3GALT6	16
B3GAT1	11
B3GAT2	0
B3GAT3	60
B3GLCT	9
B3GNT2	66
B3GNT3	0
B3GNT4	15
B3GNT5	36
B3GNT6	1
B3GNT7	7
B3GNT8	15
B3GNT9	6
B3GNTL1	21
B4GALNT1	4
B4GALNT2	7
B4GALNT3	0
B4GALNT4	4
B4GALT1	261
B4GALT1_AS1	1
B4GALT2	9
B4GALT3	88
B4GALT4	37
B4GALT4_AS1	1
B4GALT5	63
B4GALT6	11
B4GALT7	42
B4GAT1	0
B9D1	3
B9D2	5
BAALC	1
BAALC_AS1	0
BAALC_AS2	0
BAAT	3
BABAM1	146
BACE1	25
BACE1_AS	1
BACE2	16
BACH1	337
BACH1_IT2	4
BACH2	193
BAD	39
BAG1	749
BAG2	9
BAG3	63
BAG4	59
BAG5	83
BAG6	524
BAGE	1
BAGE2	0
BAGE3	0
BAGE4	0
BAGE5	0
BAHCC1	23
BAHD1	49
BAIAP2	11
BAIAP2_AS1	27
BAIAP2L1	14
BAIAP2L2	4
BAIAP3	37
BAK1	69
BAMBI	3
BANCR	0
BANF1	15
BANF2	1
BANK1	151
BANP	130
BAP1	228
BARD1	92
BARHL1	1
BARHL2	0
BARX1	1
BARX2	2
BASP1	110
BASP1P1	1
BATF	11
BATF2	5
BATF3	4
BAX	69
BAZ1A	172
BAZ1B	205
BAZ2A	1001
BAZ2B	118
BBC3	59
BBIP1	31
BBOX1	0
BBOX1_AS1	0
BBS1	16
BBS10	7
BBS12	11
BBS2	47
BBS4	8
BBS5	1
BBS7	7
BBS9	44
BBX	244
BCAM	10
BCAN	3
BCAP29	31
BCAP31	254
BCAR1	2
BCAR3	7
BCAR4	1
BCAS1	4
BCAS2	35
BCAS3	57
BCAS4	19
BCAT1	14
BCAT2	10
BCCIP	42
BCDIN3D	0
BCDIN3D_AS1	1
