	gene_id_FLU_22_S38_
ARHGEF38_IT1	1
ARHGEF39	19
ARHGEF4	19
ARHGEF40	942
ARHGEF5	35
ARHGEF6	4967
ARHGEF7	1318
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	336
ARHGEF9_IT1	7
ARID1A	1124
ARID1B	1342
ARID2	2400
ARID3A	249
ARID3B	414
ARID3C	2
ARID4A	2936
ARID4B	4915
ARID5A	449
ARID5B	2063
ARIH1	2461
ARIH2	1721
ARIH2OS	47
ARL1	485
ARL10	61
ARL11	634
ARL13A	25
ARL13B	167
ARL14	0
ARL14EP	444
ARL14EPL	1
ARL15	807
ARL16	128
ARL17A	195
ARL17B	0
ARL2	44
ARL2_SNX15	0
ARL2BP	846
ARL3	161
ARL4A	802
ARL4C	4237
ARL4D	6
ARL5A	1757
ARL5B	1771
ARL5C	0
ARL6	64
ARL6IP1	3344
ARL6IP4	858
ARL6IP5	5419
ARL6IP6	654
ARL8A	301
ARL8B	1918
ARL9	1
ARMC1	648
ARMC10	360
ARMC12	9
ARMC2	228
ARMC2_AS1	19
ARMC3	25
ARMC4	1
ARMC5	88
ARMC6	267
ARMC7	122
ARMC8	2184
ARMC9	9
ARMCX1	22
ARMCX2	47
ARMCX3	714
ARMCX4	151
ARMCX5	188
ARMCX5_GPRASP2	20
ARMCX6	108
ARMS2	1
ARMT1	729
ARNT	1154
ARNT2	3
ARNTL	1742
ARNTL2	108
ARNTL2_AS1	0
ARPC1A	626
ARPC1B	5967
ARPC2	7896
ARPC3	4084
ARPC4	1666
ARPC4_TTLL3	0
ARPC5	6332
ARPC5L	320
ARPIN	192
ARPP19	3823
ARPP21	8
ARR3	15
ARRB1	2119
ARRB2	3605
ARRDC1	431
ARRDC1_AS1	49
ARRDC2	633
ARRDC3	7023
ARRDC3_AS1	176
ARRDC4	622
ARRDC5	49
ARSA	213
ARSB	765
ARSD	403
ARSE	0
ARSF	0
ARSG	757
ARSH	0
ARSI	1
ARSJ	6
ARSK	98
ART1	3
ART3	13
ART4	12
ART5	0
ARTN	1
ARV1	145
ARVCF	47
ARX	0
AS3MT	0
ASAH1	7071
ASAH2	5
ASAH2B	1
ASAP1	4777
ASAP1_IT1	299
ASAP1_IT2	134
ASAP2	170
ASAP3	30
ASB1	348
ASB10	1
ASB11	0
ASB12	3
ASB13	123
ASB14	139
ASB15	7
ASB16	8
ASB16_AS1	59
ASB17	0
ASB18	0
ASB2	78
ASB3	73
ASB4	2
ASB5	0
ASB6	230
ASB7	785
ASB8	733
ASB9	4
ASB9P1	25
ASCC1	188
ASCC2	3810
ASCC3	3768
ASCL1	0
ASCL2	135
ASCL3	0
ASCL4	0
ASCL5	0
ASF1A	727
ASF1B	49
ASGR1	131
ASGR2	119
ASH1L	4563
ASH1L_AS1	67
ASH2L	894
ASIC1	0
ASIC2	1
ASIC3	8
ASIC4	1
ASIC5	0
ASIP	0
ASL	343
ASMT	6
ASMTL	225
ASMTL_AS1	52
ASNA1	641
ASNS	317
ASNSD1	834
ASPA	0
ASPDH	10
ASPG	0
ASPH	2883
ASPHD1	0
ASPHD2	128
ASPM	532
ASPN	31
ASPRV1	218
ASPSCR1	85
ASRGL1	110
ASS1	12
ASTE1	426
ASTL	26
ASTN1	0
ASTN2	62
ASTN2_AS1	17
ASUN	425
ASXL1	1283
ASXL2	1325
ASXL3	11
ASZ1	0
ATAD1	912
ATAD2	1004
ATAD2B	3120
ATAD3A	83
ATAD3B	129
ATAD3C	8
ATAD5	487
ATAT1	31
ATCAY	0
ATE1	889
ATE1_AS1	0
ATF1	586
ATF2	2328
ATF3	177
ATF4	2942
ATF5	34
ATF6	5187
ATF6B	481
ATF7	292
ATF7IP	6191
ATF7IP2	504
ATG10	97
ATG101	193
ATG12	1437
ATG13	752
ATG14	764
ATG16L1	769
ATG16L2	3533
ATG2A	553
ATG2B	2644
ATG3	2214
ATG4A	337
ATG4B	420
ATG4C	372
ATG4D	155
ATG5	1047
ATG7	1387
ATG9A	376
ATG9B	17
ATHL1	882
ATIC	235
ATL1	131
ATL2	744
ATL3	2005
ATM	14691
ATMIN	1587
ATN1	40
ATOH1	0
ATOH7	2
ATOH8	10
ATOX1	141
ATP10A	496
ATP10B	4
ATP10D	912
ATP11A	2345
ATP11A_AS1	41
ATP11AUN	4
ATP11B	8403
ATP11C	1506
ATP12A	4
ATP13A1	310
ATP13A2	169
ATP13A3	2891
ATP13A4	65
ATP13A4_AS1	2
ATP13A5	1
ATP13A5_AS1	0
ATP1A1	2422
ATP1A1_AS1	87
ATP1A2	4
ATP1A3	44
ATP1A4	4
ATP1B1	47
ATP1B2	12
ATP1B3	760
ATP1B4	4
ATP2A1	6
ATP2A1_AS1	1
ATP2A2	1824
ATP2A3	1473
ATP2B1	8014
ATP2B2	15
ATP2B2_IT2	0
ATP2B3	0
ATP2B4	3886
ATP2C1	1892
ATP2C2	40
ATP4A	3
ATP4B	0
ATP5A1	4883
ATP5B	5102
ATP5C1	1273
ATP5D	49
ATP5E	35
ATP5EP2	0
ATP5F1	1926
ATP5G1	157
ATP5G2	999
ATP5G3	881
ATP5H	696
ATP5I	152
ATP5J	157
ATP5J2	67
ATP5J2_PTCD1	0
ATP5L	1103
ATP5L2	11
ATP5O	493
ATP5S	223
ATP5SL	135
ATP6AP1	567
ATP6AP1L	35
ATP6AP2	2060
ATP6V0A1	723
ATP6V0A2	1054
ATP6V0A4	3
ATP6V0B	2063
ATP6V0C	227
ATP6V0CP3	0
ATP6V0D1	2625
ATP6V0D2	1
ATP6V0E1	2313
ATP6V0E2	111
ATP6V0E2_AS1	26
ATP6V1A	3990
ATP6V1B1	1
ATP6V1B1_AS1	0
ATP6V1B2	5312
ATP6V1C1	1244
ATP6V1C2	27
ATP6V1D	1292
ATP6V1E1	1300
ATP6V1E2	45
ATP6V1F	134
ATP6V1G1	1521
ATP6V1G2	6
ATP6V1G2_DDX39B	0
ATP6V1G3	0
ATP6V1H	592
ATP7A	1785
ATP7B	112
ATP8A1	4575
ATP8A2	18
ATP8B1	208
ATP8B2	2106
ATP8B3	51
ATP8B4	1262
ATP8B5P	4
ATP9A	197
ATP9B	821
ATPAF1	406
ATPAF2	130
ATPIF1	259
ATR	2663
ATRAID	763
ATRIP	228
ATRN	847
ATRNL1	3
ATRX	5893
ATXN1	2425
ATXN10	834
ATXN1L	1424
ATXN2	534
ATXN2L	504
ATXN3	953
ATXN3L	0
ATXN7	3397
ATXN7L1	457
ATXN7L2	15
ATXN7L3	986
ATXN7L3B	1158
ATXN8OS	0
AUH	330
AUNIP	20
AUP1	1165
AURKA	132
AURKAIP1	410
AURKAPS1	285
AURKB	17
AURKC	3
AUTS2	99
AVEN	83
AVIL	339
AVL9	1873
AVP	0
AVPI1	37
AVPR1A	95
AVPR1B	0
AVPR2	48
AWAT1	0
AWAT2	1
AXDND1	12
AXIN1	654
AXIN2	93
AXL	8
AZGP1	2
AZGP1P1	0
AZI2	1411
AZIN1	3153
AZIN1_AS1	1
AZIN2	21
AZU1	50
B2M	129300
B3GALNT1	25
B3GALNT2	344
B3GALT1	0
B3GALT2	538
B3GALT4	300
B3GALT5	0
B3GALT5_AS1	0
B3GALT6	163
B3GAT1	123
B3GAT2	0
B3GAT3	170
B3GLCT	199
B3GNT2	798
B3GNT3	0
B3GNT4	21
B3GNT5	1649
B3GNT6	1
B3GNT7	26
B3GNT8	202
B3GNT9	48
B3GNTL1	158
B4GALNT1	0
B4GALNT2	0
B4GALNT3	11
B4GALNT4	2
