	gene_id_FLU_45_
ARSE	3
ARSF	0
ARSG	497
ARSH	0
ARSI	0
ARSJ	1
ARSK	33
ART1	3
ART3	0
ART4	2
ART5	0
ARTN	1
ARV1	83
ARVCF	10
ARX	0
AS3MT	0
ASAH1	2112
ASAH2	1
ASAH2B	0
ASAP1	4678
ASAP1_IT1	172
ASAP1_IT2	95
ASAP2	164
ASAP3	9
ASB1	196
ASB10	0
ASB11	0
ASB12	2
ASB13	56
ASB14	57
ASB15	0
ASB16	36
ASB16_AS1	64
ASB17	0
ASB18	0
ASB2	17
ASB3	24
ASB4	0
ASB5	0
ASB6	176
ASB7	272
ASB8	278
ASB9	1
ASB9P1	52
ASCC1	120
ASCC2	882
ASCC3	1090
ASCL1	0
ASCL2	9
ASCL3	0
ASCL4	0
ASCL5	0
ASF1A	321
ASF1B	51
ASGR1	63
ASGR2	116
ASH1L	3792
ASH1L_AS1	40
ASH2L	1054
ASIC1	1
ASIC2	0
ASIC3	2
ASIC4	0
ASIC5	0
ASIP	0
ASL	116
ASMT	12
ASMTL	142
ASMTL_AS1	60
ASNA1	125
ASNS	152
ASNSD1	305
ASPA	0
ASPDH	7
ASPG	0
ASPH	1166
ASPHD1	2
ASPHD2	58
ASPM	395
ASPN	19
ASPRV1	282
ASPSCR1	98
ASRGL1	27
ASS1	1
ASTE1	134
ASTL	14
ASTN1	0
ASTN2	25
ASTN2_AS1	5
ASUN	171
ASXL1	915
ASXL2	1086
ASXL3	3
ASZ1	0
ATAD1	334
ATAD2	967
ATAD2B	1764
ATAD3A	46
ATAD3B	56
ATAD3C	4
ATAD5	549
ATAT1	24
ATCAY	0
ATE1	461
ATE1_AS1	0
ATF1	249
ATF2	1007
ATF3	23
ATF4	1173
ATF5	22
ATF6	2202
ATF6B	466
ATF7	272
ATF7IP	3375
ATF7IP2	501
ATG10	41
ATG101	56
ATG12	508
ATG13	663
ATG14	364
ATG16L1	514
ATG16L2	4859
ATG2A	957
ATG2B	1416
ATG3	729
ATG4A	89
ATG4B	268
ATG4C	167
ATG4D	99
ATG5	404
ATG7	690
ATG9A	332
ATG9B	2
ATHL1	1561
ATIC	196
ATL1	23
ATL2	328
ATL3	802
ATM	7162
ATMIN	515
ATN1	89
ATOH1	0
ATOH7	0
ATOH8	24
ATOX1	63
ATP10A	192
ATP10B	0
ATP10D	330
ATP11A	1883
ATP11A_AS1	95
ATP11AUN	1
ATP11B	2298
ATP11C	552
ATP12A	0
ATP13A1	310
ATP13A2	129
ATP13A3	976
ATP13A4	11
ATP13A4_AS1	2
ATP13A5	0
ATP13A5_AS1	0
ATP1A1	1208
ATP1A1_AS1	22
ATP1A2	0
ATP1A3	30
ATP1A4	0
ATP1B1	26
ATP1B2	13
ATP1B3	206
ATP1B4	0
ATP2A1	14
ATP2A1_AS1	0
ATP2A2	941
ATP2A3	1522
ATP2B1	2639
ATP2B2	6
ATP2B2_IT2	0
ATP2B3	0
ATP2B4	3012
ATP2C1	648
ATP2C2	21
ATP4A	0
ATP4B	1
ATP5A1	1560
ATP5B	1220
ATP5C1	987
ATP5D	55
ATP5E	49
ATP5EP2	0
ATP5F1	657
ATP5G1	39
ATP5G2	243
ATP5G3	185
ATP5H	282
ATP5I	150
ATP5J	93
ATP5J2	20
ATP5J2_PTCD1	0
ATP5L	463
ATP5L2	8
ATP5O	281
ATP5S	80
ATP5SL	94
ATP6AP1	295
ATP6AP1L	6
ATP6AP2	549
ATP6V0A1	889
ATP6V0A2	369
ATP6V0A4	0
ATP6V0B	684
ATP6V0C	336
ATP6V0CP3	0
ATP6V0D1	1007
ATP6V0D2	0
ATP6V0E1	830
ATP6V0E2	34
ATP6V0E2_AS1	18
ATP6V1A	1379
ATP6V1B1	2
ATP6V1B1_AS1	0
