	gene_id_NP73_R1_
ATP6V0D1	2
ATP6V0D2	0
ATP6V0E1	1
ATP6V0E2	0
ATP6V0E2_AS1	0
ATP6V1A	0
ATP6V1B1	0
ATP6V1B1_AS1	0
ATP6V1B2	2
ATP6V1C1	0
ATP6V1C2	10
ATP6V1D	0
ATP6V1E1	0
ATP6V1E2	0
ATP6V1F	0
ATP6V1G1	1
ATP6V1G2	0
ATP6V1G2_DDX39B	0
ATP6V1G3	0
ATP6V1H	0
ATP7A	1
ATP7B	3
ATP8A1	3
ATP8A2	2
ATP8B1	9
ATP8B2	0
ATP8B3	6
ATP8B4	2
ATP8B5P	1
ATP9A	5
ATP9B	1
ATPAF1	0
ATPAF2	47
ATPIF1	0
ATR	0
ATRAID	0
ATRIP	0
ATRN	12
ATRNL1	0
ATRX	2
ATXN1	5
ATXN10	0
ATXN1L	5
ATXN2	7
ATXN2L	0
ATXN3	0
ATXN3L	0
ATXN7	5
ATXN7L1	0
ATXN7L2	0
ATXN7L3	0
ATXN7L3B	1
ATXN8OS	0
AUH	0
AUNIP	0
AUP1	0
AURKA	1
AURKAIP1	0
AURKAPS1	0
AURKB	1
AURKC	0
AUTS2	9
AVEN	0
AVIL	1
AVL9	0
AVP	1
AVPI1	0
AVPR1A	0
AVPR1B	0
AVPR2	2
AWAT1	1
AWAT2	0
AXDND1	1
AXIN1	0
AXIN2	1
AXL	0
AZGP1	0
AZGP1P1	0
AZI2	1
AZIN1	0
AZIN1_AS1	0
AZIN2	0
AZU1	1
B2M	16
B3GALNT1	0
B3GALNT2	1
B3GALT1	0
B3GALT2	0
B3GALT4	1
B3GALT5	1
B3GALT5_AS1	0
B3GALT6	3
B3GAT1	0
B3GAT2	0
B3GAT3	0
B3GLCT	1
B3GNT2	0
B3GNT3	0
B3GNT4	0
B3GNT5	1
B3GNT6	1
B3GNT7	1
B3GNT8	0
B3GNT9	1
B3GNTL1	1
B4GALNT1	1
B4GALNT2	0
B4GALNT3	0
B4GALNT4	1
B4GALT1	2
B4GALT1_AS1	0
B4GALT2	0
B4GALT3	2
B4GALT4	0
B4GALT4_AS1	0
B4GALT5	2
B4GALT6	0
B4GALT7	0
B4GAT1	0
B9D1	0
B9D2	0
BAALC	6
BAALC_AS1	0
BAALC_AS2	0
BAAT	0
BABAM1	0
BACE1	1
BACE1_AS	0
BACE2	2
BACH1	0
BACH1_IT2	1
BACH2	2
BAD	2
BAG1	2
BAG2	0
BAG3	9
BAG4	3
BAG5	0
BAG6	3
BAGE	0
BAGE2	0
BAGE3	0
BAGE4	0
BAGE5	0
BAHCC1	6
BAHD1	72
BAIAP2	4
BAIAP2_AS1	0
BAIAP2L1	3
BAIAP2L2	0
BAIAP3	0
BAK1	0
BAMBI	0
BANCR	0
BANF1	0
BANF2	0
BANK1	1
BANP	5
BAP1	6
BARD1	0
BARHL1	2
BARHL2	0
BARX1	0
BARX2	3
BASP1	40
BASP1P1	0
BATF	0
BATF2	0
BATF3	0
BAX	1
BAZ1A	3
BAZ1B	6
BAZ2A	13
BAZ2B	5
BBC3	1
BBIP1	0
BBOX1	0
BBOX1_AS1	0
BBS1	0
BBS10	1
BBS12	0
BBS2	0
BBS4	12
BBS5	0
BBS7	0
BBS9	0
BBX	1
