	gene_id_Covid3_R1_
ATP11A	2
ATP11A_AS1	1
ATP11AUN	0
ATP11B	5
ATP11C	0
ATP12A	12
ATP13A1	7
ATP13A2	7
ATP13A3	2
ATP13A4	6
ATP13A4_AS1	0
ATP13A5	8
ATP13A5_AS1	0
ATP1A1	50
ATP1A1_AS1	0
ATP1A2	1
ATP1A3	18
ATP1A4	73
ATP1B1	48
ATP1B2	0
ATP1B3	7
ATP1B4	0
ATP2A1	3
ATP2A1_AS1	0
ATP2A2	65
ATP2A3	19
ATP2B1	2
ATP2B2	6
ATP2B2_IT2	0
ATP2B3	1
ATP2B4	25
ATP2C1	1
ATP2C2	9
ATP4A	6
ATP4B	0
ATP5A1	10
ATP5B	9
ATP5C1	2
ATP5D	8
ATP5E	0
ATP5EP2	0
ATP5F1	0
ATP5G1	1
ATP5G2	5
ATP5G3	13
ATP5H	4
ATP5I	3
ATP5J	0
ATP5J2	2
ATP5J2_PTCD1	0
ATP5L	1
ATP5L2	0
ATP5O	0
ATP5S	1
ATP5SL	2
ATP6AP1	2
ATP6AP1L	1
ATP6AP2	1
ATP6V0A1	1
ATP6V0A2	4
ATP6V0A4	0
ATP6V0B	0
ATP6V0C	12
ATP6V0CP3	0
ATP6V0D1	9
ATP6V0D2	4
ATP6V0E1	1
ATP6V0E2	3
ATP6V0E2_AS1	0
ATP6V1A	6
ATP6V1B1	0
ATP6V1B1_AS1	0
ATP6V1B2	2
ATP6V1C1	3
ATP6V1C2	0
ATP6V1D	1
ATP6V1E1	2
ATP6V1E2	0
ATP6V1F	2
ATP6V1G1	7
ATP6V1G2	0
ATP6V1G2_DDX39B	0
ATP6V1G3	0
ATP6V1H	0
ATP7A	0
ATP7B	7
ATP8A1	2
ATP8A2	0
ATP8B1	3
ATP8B2	2
ATP8B3	1
ATP8B4	0
ATP8B5P	0
ATP9A	18
ATP9B	8
ATPAF1	1
ATPAF2	4
ATPIF1	24
ATR	0
ATRAID	0
ATRIP	0
ATRN	2
ATRNL1	0
ATRX	16
ATXN1	4
ATXN10	0
ATXN1L	2
ATXN2	4
ATXN2L	6
ATXN3	2
ATXN3L	0
ATXN7	3
ATXN7L1	6
ATXN7L2	0
ATXN7L3	3
ATXN7L3B	0
ATXN8OS	0
AUH	2
AUNIP	0
AUP1	4
AURKA	2
AURKAIP1	7
AURKAPS1	0
AURKB	0
AURKC	0
AUTS2	14
AVEN	1
AVIL	2
AVL9	1
AVP	0
AVPI1	3
AVPR1A	0
AVPR1B	0
AVPR2	0
AWAT1	0
AWAT2	0
AXDND1	0
AXIN1	1
AXIN2	2
AXL	0
AZGP1	2
AZGP1P1	0
AZI2	0
AZIN1	3
AZIN1_AS1	3
AZIN2	0
AZU1	35
B2M	67
B3GALNT1	0
B3GALNT2	8
B3GALT1	2
B3GALT2	0
B3GALT4	3
B3GALT5	0
B3GALT5_AS1	1
B3GALT6	52
B3GAT1	0
B3GAT2	0
B3GAT3	1
B3GLCT	0
B3GNT2	3
B3GNT3	7
B3GNT4	0
B3GNT5	0
B3GNT6	0
B3GNT7	1
B3GNT8	1
B3GNT9	8
B3GNTL1	0
B4GALNT1	1
B4GALNT2	0
B4GALNT3	19
B4GALNT4	2
B4GALT1	7
B4GALT1_AS1	0
B4GALT2	1
B4GALT3	1
B4GALT4	2
B4GALT4_AS1	0
B4GALT5	14
B4GALT6	0
B4GALT7	0
B4GAT1	0
B9D1	3
B9D2	0
BAALC	9
BAALC_AS1	0
BAALC_AS2	0
BAAT	0
BABAM1	2
BACE1	3
BACE1_AS	0
BACE2	6
BACH1	0
BACH1_IT2	0
BACH2	0
BAD	0
BAG1	11
BAG2	0
BAG3	9
BAG4	0
BAG5	3
BAG6	18
BAGE	0
BAGE2	0
BAGE3	0
BAGE4	0
BAGE5	0
BAHCC1	9
BAHD1	8
BAIAP2	1
BAIAP2_AS1	3
BAIAP2L1	8
BAIAP2L2	1
BAIAP3	18
BAK1	0
BAMBI	5
BANCR	0
BANF1	0
BANF2	0
BANK1	0
BANP	6
BAP1	36
BARD1	0
BARHL1	0
BARHL2	0
BARX1	0
BARX2	0
BASP1	15
BASP1P1	0
BATF	8
BATF2	2
BATF3	0
BAX	4
BAZ1A	17
BAZ1B	14
BAZ2A	25
BAZ2B	17
BBC3	0
BBIP1	1
BBOX1	0
BBOX1_AS1	0
BBS1	2
BBS10	0
BBS12	0
BBS2	6
BBS4	0
BBS5	2
BBS7	0
BBS9	1
BBX	3
BCAM	6
BCAN	1
BCAP29	1
BCAP31	19
BCAR1	13
BCAR3	1
BCAR4	0
BCAS1	8
BCAS2	0
BCAS3	2
BCAS4	0
BCAT1	8
BCAT2	0
BCCIP	6
BCDIN3D	0
